BELGIQUE (et LUXBG -> 1998);1
ALLEMAGNE (et DD de 1991);1
ITALIE;1
ESPAGNE;1
ROYAUME-UNI;1
PAYS-BAS;1
SUISSE (y comp. LI->1994);0
PORTUGAL;1
ALGERIE;0
POLOGNE;1
AUTRICHE;1
ÉTATS-UNIS;0
TURQUIE;0
DANEMARK;1
SUEDE;1
CHINE, REPUBLIQUE POPULAIRE DE;0
NORVEGE  (y comp. SJ excl.1995,1996);0
TCHEQUE, REPUBLIQUE (CS ->1992);1
JAPON;0
SLOVENIE;1
CANADA;0
MAROC;0
COREE, REPUBLIQUE DE (COREE DU SUD);0
AUSTRALIE;0
ISRAËL (GAZA et JERICHO->1994);0
IRLANDE;1
TUNISIE;0
SLOVAQUIE;1
HONGRIE;1
CHILI;0
MEXIQUE;0
GRECE;1
FINLANDE;1
ROUMANIE;1
LUXEMBOURG;1
ÉGYPTE;0
ÉMIRATS ARABES UNIS;0
AFRIQUE DU SUD  (y comp. NA -> 1989);0
BULGARIE;1
NOUVELLE-CALEDONIE;0
CROATIE;1
LITUANIE;1
ANDORRE;0
ESTONIE;1
SINGAPOUR;0
TAÏWAN;0
UKRAINE;0
BRESIL;0
ARABIE SAOUDITE;0
ISLANDE;0
MOLDOVA, REPUBLIQUE DE (MOLDAVIE);0
POLYNESIE FRANÇAISE;1
URUGUAY;0
MACEDOINE, EX- REPUBLIQUE YOUGOSLAVE DE;0
NOUVELLE-ZELANDE;0
MALAISIE;0
SERBIE (EU data a partir de 01/06/2005 ex CS);0
SENEGAL;0
OMAN;0
RUSSIE, FEDERATION DE (RUSSIA);0
ARGENTINE;0
PHILIPPINES;0
MADAGASCAR;0
VIETNAM (excl NORD -> 1976);0
CONGO;0
MALTE;1
HONG KONG;0
LIBAN;0
JORDANIE;0
QATAR;0
BOSNIE-HERZEGOVINE;0
PEROU;0
GIBRALTAR;0
COLOMBIE;0
KENYA;0
TERRITOIRE PALESTINIEN OCCUPE CISJORDANIE (Y COMPRIS JERUSALEM-EST) ET BANDE DE GAZA;0
COTE D'IVOIRE;0
LETTONIE;1
CAMEROUN;0
BENIN (DAHOMEY -> 1976);0
CHYPRE;1
BAHREÏN;0
GABON;0
MALI;0
CUBA;0
COMORES;0
ANGOLA;0
HAÏTI;0
MAURICE;0
COSTA RICA;0
MACAO;0
ALBANIE;0
INDE;0
CAMBODGE (ex KAMPUCHEA);0
DOMINICAINE, REPUBLIQUE;0
PANAMA (excl. CANAL ->1980);0
CAP-VERT;0
KOSOVO (EU data a partir de 01/06/2005 ex CS);0
MAURITANIE (y comp.SP SAH.de 1977);0
KOWEÏT;0
GUINEE EQUATORIALE;0
BELARUS (BIELORUSSIE);0
CONGO, REPUBLIQUE DEMOCRATIQUE DU (ZAÏRE ->1997);0
BURKINA FASO (HAUTE-VOLTA -> 1985);0
LIECHTENSTEIN;0
IRAN, REPUBLIQUE ISLAMIQUE D';0
MYANMAR (ex BIRMANIE);0
NIGERIA;0
TOGO;0
SRI LANKA (ex CEYLAN);0
TCHAD;0
PARAGUAY;0
DJIBOUTI (AFFARS ISSAS -> 1977);0
IRAQ;0
GEORGIE;0
MONTENEGRO;0
GUINEE;0
GHANA;0
FEROE, ÎLES;0
NIGER;0
VENEZUELA;0
INDONESIE (ID+TP  de 77,sauf TP -> 2001);0
SAINT-PIERRE-ET-MIQUELON;0
THAÏLANDE;0
ÉTHIOPIE (y comp. ERITREA ->1993);0
BERMUDES;0
GUATEMALA;0
ÉQUATEUR;0
PAKISTAN;0
MOZAMBIQUE;0
LIBYENNE, JAMAHIRIYA ARABE (LIBYE);0
BRUNEI DARUSSALAM (BRUNEI);0
BURUNDI;0
TANZANIE, REPUBLIQUE UNIE DE;0
SUD-SUDAN;0
GAMBIE;0
AZERBAÏDJAN;0
KAZAKHSTAN;0
ARMENIE;0
GUINEE-BISSAU;0
SEYCHELLES;0
SINT MAARTEN (PARTIE NÉERLANDAISE) ;0
BOLIVIE;0
SOUDAN;0
GUYANA;0
OUZBEKISTAN;0
TURKMENISTAN;0
CENTRAFRICAINE, REPUBLIQUE;0
OUGANDA;0
NEPAL;0
LAO, REPUBLIQUE DEMOCRATIQUE POPULAIRE ( LAOS);0
SIERRA LEONE;0
MONGOLIE;0
SAMOA AMERICAINES;0
CAÏMANES, ÎLES;0
CURAÇAO;0
WALLIS ET FUTUNA;0
BARBADE;0
TRINITE-ET-TOBAGO;0
ZIMBABWE (RHODESIA ->1980);0
RWANDA;0
LIBERIA;0
VANUATU  (NEW HEBRIDES -> 1980);0
ZAMBIE;0
BANGLADESH;0
EL SALVADOR;0
TADJIKISTAN;0
SAINT-MARIN;0
MALDIVES;0
COREE, REPUBLIQUE POPULAIRE DEMOCRATIQUE DE ( COREE DU NORD);0
SAINT-KITTS-ET-NEVIS;0
BAHAMAS;0
SAINTE-LUCIE;0
AFGHANISTAN;0
SURINAME (ex GUYANE HOLLANDAISE);0
SYRIENNE, REPUBLIQUE ARABE (SYRIE);0
TONGA;0
MARIANNES DU NORD, ÎLES;0
GRENADE;0
ANTARCTIQUE;0
MAYOTTE;0
CHRISTMAS, ÎLE;0
DOMINIQUE;0
PALAOS;0
SOMALIE;0
JAMAÏQUE;0
ÉRYTHREE;0
PAPOUASIE-NOUVELLE-GUINEE;0
TIMOR EST (ex PORT. TIMOR 1976);0
BOTSWANA;0
INDES OUEST (+DM,LC,VC->79,AG->82);0
CISJORDANIE/BANDE DE GAZA;0
ARUBA;0
FALKLAND, ÎLES (MALOUINES ->2005);0
GUAM;0
COCOS (KEELING), ÎLES;0
ANTILLES NEERLANDAISES (y comp. ARUBA->1986);0
PITCAIRN;0
BONAIRE, SAINT EUSTACHE ET SABA;0
KIRGHIZE, REPUBLIQUE (ex KIRGHIZISTAN ->2005);0
AVITAILLEMENT ET SOUTAGE;0
KIRIBATI (+PN->80);0
MELILLA;0
FIDJI;0
MICRONESIE, ETATS FEDERES DE;0
BOUVET, ÎLE;0
OCEANIE NEO-ZELANDAISE;0
REGIONS POLAIRES;0
YEMEN  (excl. SUD -> 1990) (ex YEMEN DU NORD ET YEMEN DU SUD);0
REPUBLIQUE DEMOCRATIQUE ALLEMANDE;0
SERBIE-ET-MONTÉNÉGRO (EU data de 01/01/04 to 31/05/05);0
FRANCE;0
OCEAN INDIEN, TERRITOIRE BRITANNIQUE DE;0
LESOTHO;0
GROENLAND;0
NORFOLK, ÎLE;0
MALAWI;0
ANTIGUA-ET-BARBUDA;0
OCEANIE AMERICAINE (+FM,MH->1991);0
SAHARA OCCIDENTAL(2013-2500)CEUTA,MELLILA, SAHARA ESPAGNOL(1976-1976);0
ANGUILLA;0
SAINT BARTÉLEMY;0
BELIZE;0
SAINTE-HELENE;0
SVALBARD;0
SWAZILAND (NGWANE);0
OCEANIE AUSTRALIENNE;0
AVITAILLEMENT ET SOUTAGE DANS LE CADRE DES ECHANGES INTRACOMMUNAUTAIRES.;0
MARSHALL, ÎLES;0
NIUE;0
AVITAILLEMENT ET SOUTAGE DANS LE CADRE DES ECHANGES AVEC LES PAYS TIERS.;0
CEUTA (y comp. MELILLA -> 1998);0
TERRES AUSTRALES FRANÇAISES;0
CANAL de PANAMA;0
GUYANE FRANCAISE;0
HAUTE MER;0
TIMOR-LESTE;0
HEARD, ÎLE ET MCDONALD, ILES;0
TOKELAU;0
MONTENEGRO (EU data a partir de 01/06/2005 ex CS);0
MINEURES ELOIGNEES DES ÉTATS-UNIS, ÎLES;0
NICARAGUA;0
VIERGES BRITANNIQUES, ÎLES (et MONTSERRAT->1994);0
TURKS ET CAÏQUES, ÎLES;0
SAINT-SIEGE (ETAT DE LA CITE DU VATICAN ->2005);0
TUVALU;0
SAINT-VINCENT-ET-LES GRENADINES;0
MONTSERRAT;0
SALOMON, ÎLES;0
HONDURAS;0
SAMOA (ex SAMOA OCCIDENTALES);0
VIERGES DES ÉTATS-UNIS, ÎLES;0
VIET NAM du NORD;0
CANARIES ( ÎLES);0
NAMIBIE;0
SAO TOME-ET-PRINCIPE;0
YEMEN DU SUD;0
YOUGOSLAVIE  (y comp. SI,HR,BA ->1991,Serb+Monteng 93-96,Rep Feder de Yug 97-99);0
NAURU;0
GEORGIE DU SUD ET LES ILES SANDWICH DU SUD;0
BHOUTAN;0
COOK, ÎLES;0
Total général;
